RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,YTD VICTORIES
183,0,34431,Robert Streb,$332020
184,0,35879,Kelly Kraft,$326924
185,0,24925,Jonathan Byrd,$322026
186,0,29926,Danny Lee,$316795
187,0,46435,Austin Cook,$307171
188,0,39335,Kevin Roy,$301545
189,0,32366,Kevin Chappell,$290470
190,0,29478,Kevin Kisner,$281319
191,0,58967,Trevor Werbylo,$275155
192,0,27974,Sung Kang,$274411
193,0,35310,Lanto Griffin,$271548
194,0,51491,Brandon Matthews,$265711
195,0,52411,Kyle Westmoreland,$262044
196,0,27095,Nick Watney,$251700
197,0,31560,Brian Stuard,$246172
198,0,49766,Hank Lebioda,$245013
199,0,48084,Wesley Bryan,$227639
200,0,27895,Jonas Blixt,$225485
201,0,27554,Scott Harrington,$219731
202,0,33410,Andrew Landry,$202939
203,0,48822,Sebastián Muñoz,$183818
204,0,31202,William McGirt,$177672
205,0,22046,Geoff Ogilvy,$173140
206,0,24924,Bill Haas,$170817
207,0,19846,Brian Gay,$156313
208,0,32662,Michael Gligic,$151491
209,0,23621,Rory Sabbatini,$149009
210,0,24846,Ricky Barnes,$148091
211,0,28679,Fabián Gómez,$143701
212,0,27649,Brandt Snedeker,$129403
213,0,34174,John Huh,$121256
214,0,30750,Tommy Gainey,$97787
215,0,20593,Greg Chalmers,$88172
216,0,49303,Anders Albertson,$87639
217,0,51894,Vince Whaley,$85612
218,0,27556,Ted Potter Jr.,$82520
219,0,29479,Scott Brown,$78995
220,0,08793,Tiger Woods,$59560
221,0,27141,J.B. Holmes,$58884
222,0,08075,Jerry Kelly,$58000
223,0,54813,Philip Knowles,$53421
224,0,37278,Nicholas Lindheim,$53200
225,0,37273,Derek Ernst,$52898
226,0,27797,Derek Lamely,$52205
227,0,06522,Ernie Els,$46200
228,0,01226,Fred Couples,$46080
229,0,30110,Kyle Stanley,$45767
230,0,28259,Sangmoon Bae,$37753
231,0,27770,Camilo Villegas,$33148
232,0,23541,Ben Crane,$32973
233,0,10423,Mike Weir,$21438
234,0,24490,George McNeill,$16834
235,0,21407,Arjun Atwal,$16367
236,0,25240,D.A. Points,$15390
237,0,23788,D.J. Trahan,$12350
238,0,23623,Bo Van Pelt,$11172
239,0,26679,Kevin Stadler,$8968
240,0,26420,Richard Johnson,$8208
