RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
43,-3,35461,Beau Hossler,1.740,1834,1054,31.27%
43,0,37455,Si Woo Kim,1.740,1773,1019,32.32%
45,6,33399,Adam Hadwin,1.741,1696,974,31.20%
45,1,39546,Keith Mitchell,1.741,1724,990,32.05%
47,5,31646,Emiliano Grillo,1.742,2030,1165,31.56%
47,-4,39971,Sungjae Im,1.742,1909,1096,34.34%
49,-1,28775,Nate Lashley,1.743,1875,1076,31.28%
49,-1,34409,David Lingmerth,1.743,1457,836,30.54%
49,-1,31560,Brian Stuard,1.743,1091,626,28.53%
52,20,34046,Jordan Spieth,1.745,1305,748,32.48%
52,5,49960,Sepp Straka,1.745,1794,1028,31.32%
54,-2,45522,Christiaan Bezuidenhout,1.746,1624,930,28.94%
54,-2,40058,Zac Blair,1.746,1215,696,30.65%
54,7,27644,Brian Harman,1.746,1715,982,31.91%
54,-2,35449,Adam Long,1.746,1880,1077,30.29%
54,13,49771,J.T. Poston,1.746,1872,1072,31.34%
54,-2,54783,Dylan Wu,1.746,1935,1108,32.07%
60,-3,59018,Ryan Gerard,1.747,996,570,33.22%
60,7,47988,Nick Hardy,1.747,1967,1126,30.60%
60,-3,33413,Ben Martin,1.747,1857,1063,31.54%
63,-17,29725,Tony Finau,1.748,1652,945,33.76%
63,-2,40098,Matt Fitzpatrick,1.748,1316,753,30.53%
63,-2,50525,Collin Morikawa,1.748,1531,876,32.27%
63,-3,25818,Scott Piercy,1.748,1568,897,32.89%
67,-6,56630,Akshay Bhatia,1.749,1256,718,31.61%
67,9,39997,Corey Conners,1.749,1602,916,32.06%
67,-6,32757,Patton Kizzire,1.749,1557,890,33.37%
70,11,35506,Mackenzie Hughes,1.750,1407,804,30.84%
70,-3,36699,Patrick Rodgers,1.750,2005,1146,31.47%
72,-5,34563,Chesson Hadley,1.751,1564,893,30.94%
72,-1,36801,Mark Hubbard,1.751,1963,1121,30.59%
74,6,32839,Hideki Matsuyama,1.752,1736,991,31.28%
74,-8,57366,Cameron Young,1.752,1589,907,34.44%
76,1,25900,Lucas Glover,1.754,1849,1054,30.80%
76,-4,39058,Lucas Herbert,1.754,835,476,31.93%
76,-4,46441,Robby Shelton,1.754,1721,981,30.54%
76,-4,52513,Carson Young,1.754,1777,1013,30.43%
80,5,34098,Russell Henley,1.755,1551,884,30.01%
81,-4,34255,Joseph Bramlett,1.756,1728,984,31.33%
81,-4,34466,Peter Malnati,1.756,1426,812,30.67%
