RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
171,1,33413,Ben Martin,-0.331,-23.475,71
172,1,31323,Gary Woodland,-0.340,-25.162,74
173,1,53165,Doc Redman,-0.341,-19.105,56
174,1,34563,Chesson Hadley,-0.359,-22.601,63
175,1,52513,Carson Young,-0.370,-23.691,64
176,1,49766,Hank Lebioda,-0.374,-12.334,33
177,1,50493,Justin Suh,-0.389,-33.443,86
178,1,40006,Erik van Rooyen,-0.401,-17.638,44
179,1,49453,Trevor Cone,-0.410,-22.160,54
180,1,56762,Will Gordon,-0.417,-33.396,80
181,1,48867,Matti Schmid,-0.428,-18.413,43
182,1,32662,Michael Gligic,-0.436,-18.761,43
183,1,45609,Tyler Duncan,-0.445,-29.358,66
184,1,28420,Ryan Brehm,-0.446,-27.660,62
185,1,51414,Brent Grant,-0.482,-22.179,46
186,1,55708,Hayden Buckley,-0.521,-30.189,58
187,1,52372,Cameron Champ,-0.698,-32.108,46
188,1,51491,Brandon Matthews,-0.905,-34.385,38
